a	det		/			
a few	det		cúpla			
able	adj		ábalta			
about	prep		faoi			
about	adv		timpeall			
above	prep		os cionn			
accident	n		timpiste			
across	adv		trasna			
across	prep		trasna			
act (take action)	v		gníomhaigh			
act (action)	n		gníomh / beart			
activity	n		gníomhaíocht			
actor	n		aisteoir			
actually	adv	emphasising what's true	dáiríre			
actually	adv	emphasising something surprising	mar a tharlaíonn			
actually	adv	adding new information	dáiríre píre			
actually	adv	correcting somebody	mar a tharlaíonn			
actually	adv	changing your mind	an bhfuil a fhios agat			
ad	n		fógra			
add	v	math	suimigh			
address	n		seoladh			
adult	adj		fásta			
adult	n	person	duine fásta			
advanced	adj	study	ard-			
advanced	adj	course	ard-			
advanced	adj	society	forásach	sofaisticiúil		
advanced	adj	civilization	forásach	sofaisticiúil		
advanced	adj	technology	forbartha	sofaisticiúil		
advanced	adj	in age	críonna			
adventure	n	exciting experience	eachtra			
adventure	n	military	eachtra			
adventure	n	romantic	eachtra			
advert	n		fógra			
advertisement	n		fógra			
advice	n	guidance	comhairle			
advice	n	notification	fógra			
aeroplane	n		eitleán			
afraid	adj		scanraithe			
after	prep	following	i ndiaidh	tar éis		
after	prep	repeating	i ndiaidh	tar éis		
after	prep	order	i ndiaidh	tar éis		
after	prep	ranking	i ndiaidh	tar éis		
after	prep	behind	i ndiaidh			
afternoon	n		iarnóin	tráthnóna		
afterwards	adv		ina dhiaidh sin	tar éis sin		
again	adv		arís			
against	prep	contact	in aghaidh	in éadan	i gcoinne	
against	prep	opposed	in aghaidh	in éadan	i gcoinne	
against	prep	contrary	in aghaidh	in éadan	i gcoinne	
against	prep	competition	in aghaidh	in éadan	i gcoinne	
age	n	person	aois			
age	n	animal	aois			
age	n	thing	aois			
age	n	historical period	aois			
aged	adj		aosta	sean		
ago	adv		ó shin			
agree	v	same opinion	aontaigh			
air	n		aer			
airport	n		aerfort			
alarm clock	n		clog aláraim			
album	n	record	albam			
album	n	book	albam			
album	n	collection	albam			
all	det		gach	ar fad	uilig	go léir
all	adv		NAN			
all	pron		NAN			
allow	v	permit somebody to do something	cead a thabhairt do			
allow	v	permit something	ceadaigh	lig do		
all right	adj	alright	ceart go leor	maith go leor		
all right	adv	alright	NAN			
all right	exclam	alright	NAN			
almost	adv		beagnach			
alone	adj		i d'aonar	leat féin		
alone	adv		i d'aonar	leat féin		
along	prep		feadh			
already	adv		cheana féin			
also	adv		chomh maith	freisin		
always	adv		i gcónaí			
a.m.	adv		a.m.			
amazing	adj		iontach			
ambulance	n		otharcharr			
among	prep		i measc			
an	det		/			
and	conj		agus			
angry	adj		feargach			
animal	n		ainmhí			
another	det		eile			
another	pron		eile			
answer	n		freagra			
answer	v		freagra			
any	det	amount	aon			
any	det	number	aon			
any	det	no matter which	aon			
any	pron	amount	aon			
any	pron	number	aon			
any	pron	no matter which	aon			
anybody	pron	questions	aon duine			
anybody	pron	negatives	aon duine			
anymore	adv	questions	a thuilleadh	níos mó		
anymore	adv	negatives	a thuilleadh	níos mó		
anyone	pron	questions	aon duine			
anyone	pron	negatives	aon duine			
anything	pron	questions	aon rud	rud ar bith		
anything	pron	negatives	aon rud	rud ar bith		
anyway	adv	despite this	ar aon nós	ar scor ar bith		
anyway	adv	even so	ar aon nós	ar scor ar bith		
anywhere	adv	somewhere	aon áit	áit ar bith		
anywhere	adv	into any places	aon áit	áit ar bith		
apartment	n		árasán			
app	n		aip			
apple	n		úll			
appointment	n		coinne			
area	n	space for specific use	ceantar	dúiche		
area	n	region	ceantar	dúiche		
area	n	part of place	ceantar	dúiche		
arm	n		lámh			
armchair	n		cathaoir uilleach			
around	adv		timpeall			
around	prep		timpeall			
arrive	v		tar			
art	n		ealaín			
article	n	writing	alt			
article	n	item	ball	earra		
as	conj		NAN			
as	adv		NAN			
as	prep		NAN			
ask	v	inquire	fiafraigh			
ask	v	request	iarr			
assistant	n		cúntóir			
as well	adv		NAN			
as well	prep		NAN			
at	prep	specific location	ag	i		
at all	prep phr		NAN			
attractive	adj	sexually	tarraingteach	dathúil	dóighiúil	
attractive	adj	physically alluring	tarraingteach	dathúil	dóighiúil	
attractive	adj	appealing	álainn	galánta		
aunt	n		aintín			
autumn	n		fómhar			
available	adj		ar fáil			
away	adv		chun bealaigh	ar shiúl		
awesome	adj		iontach			
awful	adj		uafásach			
