baby	n		leanbh			
back	n	part of the body	droim			
back	n	of room	cúl			
back	n	of queue	cúl			
back	n	of drawer	cúl			
back	adj	positioned towards rear	cúl-			
backpack	n		mála droma			
bad	adj		dona			
badly	adv		go dona	go holc		
badminton	n		badmantan			
bag	n		mála			
bake	v		bácáil			
ball	n		liathróid			
balloon	n		balún			
banana	n		banana			
band	n		banna			
bank	n		banc			
barbecue	n	barbeque	beárbaiciú			
baseball	n		daorchluiche			
basketball	n		cispheil			
bat	n	animal	ialtóg			
bat	n	hitting ball	slacán			
bath	n	act	folcadh			
bathing suit	n		culaith shnámha			
bathroom	n	with bath	seomra folctha			
bathroom	n	washbasin	seomra folctha			
bathroom	n	toilet	leithreas			
bathtub	n		folcadán			
battery	n		cadhnra	ceallra	bataire	
be	av		bí/is			
be	b		bí/is			
beach	n		trá			
bean	n		pónaire			
bear	n		béar			
beard	n		féasóg			
beautiful	adj		álainn	galánta		
because	conj		mar	mar go		
because of	prep phr		mar gheall ar	i ngeall ar		
become	v		éirigh			
bed	n		leaba			
bedroom	n		seomra leapa			
bee	n		beach			
before	adv		riamh			
before	conj		riamh			
before	prep		riamh			
begin	v		tosaigh			
beginner	n		tosaitheoir	núíosach		
beginning	n		tús	tosach		
behind	prep		taobh thiar de	ar chúl		
behind	adv		thiar			
believe	v	accept as true	creid			
belong	v		NAN			
below	adv		thíos	taobh thíos		
below	prep		faoi			
belt	n		crios	beilt		
beside	prep	next to	taobh le	in aice le	le hais	
beside	prep	in comparison with	i gcomparáid le	le taobh	le hais	
best	adj		is fearr			
best	adv		is fearr			
better	adj		níos fearr			
better	adv		níos fearr			
between 	prep		idir			
bicycle	n		rothar			
big	adj		mór			
bike	n		gluaisrothar			
bill	n		bille			
bin	n	container	araid			
biology	n		bitheolaíocht			
bird	n		éan			
birth	n	of living organism	breith			
birth	n	beginnings	tús			
birth	n	origins	tús			
birthday	n		lá breithe	breithlá		
biscuit	n		briosca			
bit	n	piece	giota	blúire	píosa	beagán
black	adj		dubh			
black	n		dubh			
blackboard	n		clár dubh			
blanket	n	bed cover	pluid	blaincéad		
blanket	n	layer	brat			
block	n		bloc			
blog	n		blag			
blond	adj	blonde	fionn			
blood	n		fuil			
blouse	n		blús			
blue	adj		gorm			
blue	n		gorm			
board	n	piece of wood	clár			
board	n	for preparing food	clár			
board game	n		cluiche cláir			
boat	n		bád			
body	n	of person	corp			
body	n	of animal	corp			
body	n	corpse	corp			
body	n	main part of text	corp			
boil	v		beirigh			
boiled	adj		beirithe			
book	n		leabhar			
book	v		leabhar			
bookcase	n		leabhragán			
bookshelf	n		seilf leabhar			
bookshop	n		siopa leabhar			
boring	adj		leadránach	leamh		
borrow	v	take loan	faigh ar iasacht			
borrow	v	use idea	aithris a dhéanamh ar	glac chugat féin		
boss	n	work	saoiste	ceannasaí		
boss	n	politics	ceannasaí			
both	pron		an dá	araon		
both	det		an dá	araon		
bother	v	make effort	bac			
bother	v	upset somebody	cuir isteach ar			
bottle	n		buidéal			
bottom	n	lowest part	bun	íochtar		
bottom	n	underneath of something	tóin	bun		
bowl	n		babhla			
box	n		bosca			
boy	n		buchaill			
boyfriend	n		buchaill			
bracelet	n		bráisléad			
brain	n		inchinn			
brave	adj		cróga			
bread	n		arán			
break	n		bris			
break	v		bris			
break down	phr v		clis			
breakfast	n		bricfeasta			
bridge	n	structure	droichead			
bridge	n	of land	cuing 			
bright	adj	for colours	geal			
brilliant	adj	intelligent	iontach			
bring	v	carry with you	tabhair leat			
bring	v	take to somebody	tabhair leat			
bring back	v	return with	tabhair ar ais			
bring back	v	restore	tabhair ar ais			
broken	adj		briste			
brother	n		deartháir			
brown	adj		donn			
brown	n		donn			
brush	n		scuab			
brush	v		scuab			
build	v	building	tóg			
build	v	structure	tóg			
build	v	vehicle	déan			
build	v	machine	déan			
building	b	structure	foirgneamh			
building	b	process	tógáil			
burger	b		burgar			
bus	b		bus			
business	b		gnó			
businessman	b		fear ghnó			
businesswoman	b		bean ghnó			
bus station	b		stáisiún bus			
bus stop	b		stad bus			
busy	adj		gnóthach			
but	conj		ach			
butter	n		im			
butterfly	n		féileacán			
buy	v		ceannaigh			
by	prep		NAN			
by accident	prep phr		de thaisme	de thimpiste	trí thionóisc	
by the way	prep phr		dála an scéil			
bye	exclam		slán			
